Year,MinPrice,MaxPrice
07-2010,0.05,0.09
08-2010,0.06,0.08
09-2010,0.06,0.08
10-2010,0.09,0.20
11-2010,0.14,0.36
12-2010,0.22,0.30
01-2011,0.30,0.40
02-2011,0.85,1.10
03-2011,0.84,1.06
04-2011,0.75,1.48
05-2011,3.50,8.76
06-2011,8.77,31.91
07-2011,13.60,31.00
08-2011,7.51,13.20
09-2011,4.61,7.22
10-2011,2.14,5.27
11-2011,1.99,3.70
12-2011,2.14,4.72
01-2012,4.22,7.22
02-2012,4.22,7.61
03-2012,4.69,5.27
04-2012,4.92,5.49
05-2012,4.76,5.69
06-2012,5.77,6.46
07-2012,5.24,9.47
08-2012,9.07,15.40
09-2012,10.15,12.69
10-2012,11.18,12.60
11-2012,10.25,12.55
12-2012,13.20,13.51
01-2013,13.30,21.22
02-2013,20.05,32.35
03-2013,28.95,92.47
04-2013,68.36,266.00
05-2013,91.94,141.96
06-2013,65.32,130.92
07-2013,69.11,110.33
08-2013,89.34,134.21
09-2013,107.23,147.78
10-2013,123.00,203.15
11-2013,200.00,1242.00
12-2013,600.00,1147.25
01-2014,751.00,1003.33
02-2014,545.00,700.87
03-2014,450.00,715.91
04-2014,413.44,530.00
05-2014,440.00,681.51
06-2014,559.00,686.41
07-2014,575.00,651.69
08-2014,478.50,600.34
09-2014,287.25,497.19
10-2014,289.70,390.15
11-2014,320.50,389.51
12-2014,314.25,378.94
01-2015,170.50,315.21
02-2015,220.00,290.42
03-2015,245.00,300.00
04-2015,200.05,263.65
05-2015,224.00,249.99
06-2015,220.00,249.26
07-2015,275.00,315.72
08-2015,198.64,293.15
09-2015,213.97,248.66
10-2015,240.00,333.00
11-2015,295.00,504.00
12-2015,353.00,468.90
01-2016,356.00,430.27
02-2016,360.17,439.28
03-2016,402.34,430.74
04-2016,413.39,461.90
05-2016,449.00,535.88
06-2016,538.00,778.00
07-2016,605.48,709.18
08-2016,540.02,623.88
09-2016,573.17,628.66
10-2016,609.55,689.12
11-2016,692.49,742.17
12-2016,750.36,998.33
01-2017,789.36,1150.00
02-2017,925.47,1268.88
03-2017,947.04,1327.81
04-2017,1003.98,1348.89
05-2017,1402.80,2760.17
06-2017,1850.31,3019.51
07-2017,1900.00,2982.06
08-2017,2700.09,4950.00
09-2017,2980.77,5013.91
10-2017,4382.73,6183.15
11-2017,5506.60,11434.21
12-2017,10859.56,19535.69
01-2018,9052.73,17712.40
02-2018,5920.72,11792.76
03-2018,6425.47,11526.04
04-2018,6610.87,9990.64
05-2018,7347.00,9990.42
06-2018,5755.25,7577.42
07-2018,6132.36,8514.01
08-2018,5879.82,7415.26
09-2018,6178.59,7440.58
10-2018,6029.00,6806.13
11-2018,3676.41,6526.63
12-2018,3191.30,4246.44
01-2019,3350.25,4190.70
02-2019,3391.02,4288.48
03-2019,3848.65,4109.62
04-2019,4097.80,5627.55
05-2019,5106.06,8900.39
06-2019,7929.61,13880.57
07-2019,9156.96,12473.47
08-2019,9433.80,12325.59
09-2019,7791.77,10897.52
10-2019,7293.78,10540.73
11-2019,6515.49,9508.23
12-2019,6425.47,7599.07
01-2020,6965.72,10500.00
02-2020,8767.37,10492.68
03-2020,3782.13,9188.97
04-2020,6755.99,9484.31
05-2020,8680.87,10428.05
06-2020,9075.00,10428.70
07-2020,9003.82,11427.86
08-2020,10400.00,12438.01
09-2020,9796.03,12074.95
10-2020,10552.59,13859.98
11-2020,13094.37,19857.03
12-2020,16233.00,29245.00
01-2021,28994.01,41940.63
02-2021,43006.49,58330.57
03-2021,50024.33,61742.05
04-2021,47044.50,64863.10
05-2021,30066.28,59600.00
06-2021,28893.62,41350.65
07-2021,29301.35,42297.73
08-2021,37122.86,50074.00
09-2021,39680.00,52920.00
10-2021,43800.00,66974.77
11-2021,53211.16,68789.63
12-2021,42333.00,69000.00
01-2022,32951.21,47686.81
02-2022,34322.28,45821.30
03-2022,37289.36,48234.83
04-2022,37646.06,47527.31
05-2022,26700.00,40000.00
06-2022,17622.09,31895.85
07-2022,18907.27,24477.38
08-2022,19570.82,25211.56
09-2022,18142.31,22799.90
10-2022,19013.10,21478.02
11-2022,15476.20,21464.90
12-2022,16256.70,18388.04
01-2023,16530.64,23756.23
02-2023,21433.04,25209.99
03-2023,19800.00,28415.84
04-2023,27388.96,31000.00
05-2023,25817.40,31805.00
06-2023,24797.00,31500.00
07-2023,29200.00,31785.00
08-2023,25166.00,29730.00
09-2023,25146.39,28140.00
10-2023,26500.00,35000.00
11-2023,34500.00,37999.00
12-2023,38505.00,44700.00
01-2024,38505.00,49000.00
02-2024,49000.00,64000.00
03-2024,60700.00,73750.00
04-2024,56500.00,71500.00
05-2024,56500.00,71900.00
06-2024,58900.00,71500.00
07-2024,53500.00,70000.00
08-2024,49000.00,65000.00
09-2024,52500.00,66500.00
10-2024,65900.00,93400.00
11-2024,86500.00,99500.00
12-2024,92000.00,108350.00
01-2025,92500.00,109000.00
02-2025,100000.00,115000.00
03-2025,105000.00,120000.00
04-2025,110000.00,125000.00
05-2025,115000.00,130000.00
06-2025,120000.00,135000.00
07-2025,125000.00,140000.00
08-2025,115000.00,135000.00